,score,1,2,3,4,5,6,7,8,9,10,11,12,type,class,sum
0,10,0,0,0,0,0,1,1,1,0,0,0,1,A,2,4
1,10,1,0,0,0,0,1,0,1,0,1,0,0,A,2,4
2,15,1,0,1,1,1,1,1,0,0,0,0,0,A,3,6
3,15,0,1,1,1,0,1,0,1,1,0,0,0,B,4,6
4,18,0,1,1,1,0,1,0,1,1,0,0,1,B,4,7
5,10,0,0,0,1,1,0,0,1,0,0,0,1,B,4,4
6,10,1,1,0,1,0,1,0,0,0,0,0,0,B,4,4
7,18,1,0,1,1,0,1,0,1,1,0,0,1,B,4,7
8,18,1,1,1,1,0,1,0,1,0,1,0,0,B,4,7
9,20,0,0,1,1,1,1,1,1,0,1,0,1,B,4,8
10,18,1,1,1,1,1,0,1,1,0,0,0,0,B,2,7
11,18,1,0,1,0,1,1,1,1,0,1,0,0,A,2,7
12,15,1,0,0,1,1,1,0,1,0,0,1,0,A,3,6
13,18,1,0,1,1,0,1,0,1,1,1,0,0,A,2,7
14,18,1,1,1,1,0,1,0,1,1,0,0,0,A,2,7
15,13,0,1,1,1,0,0,0,0,0,1,0,1,B,4,5
16,18,1,0,1,1,1,1,0,1,0,1,0,0,A,3,7
17,8,0,1,0,1,0,1,0,0,0,0,0,0,B,4,3
18,13,0,0,0,1,1,1,0,1,0,0,0,1,A,2,5
19,13,0,1,1,1,0,1,0,1,0,0,0,0,B,4,5
20,13,1,1,0,1,0,1,0,1,0,0,0,0,B,4,5
21,20,0,1,1,1,0,1,0,1,1,1,0,1,B,4,8
22,10,0,1,0,1,0,1,0,1,0,0,0,0,B,4,4
23,25,1,0,1,1,1,1,1,1,1,0,1,1,B,4,10
24,15,0,1,0,1,0,1,1,1,0,0,0,1,B,4,6
25,10,1,0,0,1,0,1,0,1,0,0,0,0,A,2,4
26,20,1,0,1,1,0,1,0,1,1,1,0,1,A,3,8
27,23,1,1,0,1,1,1,0,1,1,1,0,1,A,3,9
28,25,1,0,1,1,1,1,1,1,1,1,0,1,A,2,10
29,28,1,1,1,1,1,1,1,1,1,0,1,1,A,3,11
30,18,0,1,1,1,0,1,0,1,0,1,0,1,B,2,7
31,8,0,0,0,0,0,1,0,1,0,0,0,1,A,3,3
32,18,1,0,1,1,1,1,0,0,0,1,0,1,A,2,7
33,13,0,1,0,1,0,1,0,1,0,0,0,1,A,2,5
34,18,1,0,1,1,0,1,0,1,0,1,0,1,A,3,7
35,23,1,1,1,1,1,1,1,1,0,0,0,1,A,3,9
36,18,1,1,1,1,0,0,0,1,1,0,0,1,B,2,7
37,10,0,0,0,1,1,1,0,0,1,0,0,0,A,2,4
38,20,1,1,1,1,0,1,0,1,1,0,0,1,B,2,8
39,20,1,0,1,1,1,1,0,1,1,1,0,0,A,3,8
40,25,1,1,1,1,1,1,0,1,1,1,0,1,A,3,10
41,20,1,1,1,1,0,1,0,1,0,1,0,1,A,2,8
42,8,0,0,0,0,1,1,0,1,0,0,0,0,A,3,3
43,20,0,1,1,1,1,1,0,1,1,1,0,0,B,2,8
44,18,1,1,1,1,0,1,0,1,0,0,1,0,B,4,7
45,18,0,1,1,1,0,1,1,1,0,0,0,1,B,4,7
46,10,0,0,0,1,0,1,0,1,0,0,0,1,A,2,4
47,20,0,1,1,1,1,1,1,1,1,0,0,0,B,4,8
48,13,1,0,1,1,1,0,0,0,0,0,0,1,A,2,5
49,20,0,1,0,1,0,1,0,1,1,1,1,1,B,4,8
50,20,0,1,1,1,0,1,0,1,1,1,0,1,B,4,8
51,18,0,1,1,1,1,1,0,1,0,0,0,1,B,2,7
52,18,1,1,1,1,0,1,0,1,0,0,0,1,B,2,7
53,18,0,1,0,1,0,1,1,1,1,1,0,0,B,4,7
54,15,0,1,1,1,0,1,0,1,0,0,0,1,A,2,6
55,15,0,1,1,1,1,1,0,1,0,0,0,0,B,4,6
56,15,1,1,1,1,0,0,0,1,0,0,0,1,B,4,6
57,13,0,0,1,1,0,1,0,1,1,0,0,0,B,2,5
58,15,0,1,0,1,0,1,0,1,1,0,0,1,B,4,6
59,10,1,0,0,1,0,0,0,1,0,0,0,1,B,4,4
60,20,1,1,0,1,0,1,1,1,1,0,0,1,A,2,8
61,23,1,1,1,1,1,1,1,1,0,1,0,0,B,2,9
62,18,1,0,1,1,1,1,0,1,0,0,0,1,A,2,7
63,13,1,0,0,0,0,1,0,1,1,0,0,1,A,2,5
64,18,1,1,1,0,1,1,0,1,0,0,0,1,A,3,7
65,8,1,0,0,0,0,0,0,1,0,0,0,1,A,2,3
66,10,1,0,0,1,0,1,0,0,0,1,0,0,A,2,4
67,8,0,1,1,1,0,0,0,0,0,0,0,0,A,2,3
68,10,0,0,0,1,0,1,0,1,0,0,0,1,A,2,4
69,15,1,1,1,1,0,1,0,0,0,0,0,1,B,2,6
70,8,1,0,1,0,0,1,0,0,0,0,0,0,A,2,3
71,20,1,1,1,1,1,1,0,1,1,0,0,0,A,2,8
72,13,1,0,1,1,0,0,0,0,0,1,0,1,A,3,5
73,8,1,0,0,0,0,0,0,1,1,0,0,0,A,2,3
74,8,0,0,1,1,0,1,0,0,0,0,0,0,B,2,3
75,15,1,0,1,1,1,1,0,1,0,0,0,0,A,2,6
76,8,1,0,1,0,1,0,0,0,0,0,0,0,A,2,3
77,20,1,1,1,1,1,1,0,1,0,0,0,1,A,2,8
78,13,0,0,0,0,1,0,0,1,1,1,0,1,A,2,5
79,18,0,1,0,1,1,1,0,1,1,0,0,1,B,2,7
80,23,1,0,1,1,1,1,1,1,1,0,0,1,A,2,9
81,15,0,0,0,1,0,1,0,1,1,1,0,1,A,2,6
82,20,1,0,1,1,1,1,1,1,1,0,0,0,A,2,8
83,13,1,1,0,0,0,1,0,1,1,0,0,0,A,3,5
84,18,0,1,0,0,1,1,0,1,1,1,0,1,A,2,7
85,18,1,1,0,1,0,1,0,1,1,0,0,1,A,3,7
86,15,1,0,1,1,0,1,0,1,0,0,0,1,A,2,6
87,18,1,0,0,1,1,0,1,1,1,1,0,0,A,2,7
88,13,0,1,0,1,1,0,0,1,0,1,0,0,B,4,5
89,15,0,1,0,1,0,1,0,1,1,1,0,0,B,4,6
90,13,0,0,1,0,1,1,0,1,0,0,0,1,B,4,5
91,8,0,1,0,1,0,0,0,1,0,0,0,0,B,4,3
92,15,1,0,1,1,0,1,1,1,0,0,0,0,A,3,6
93,8,0,1,1,1,0,0,0,0,0,0,0,0,B,4,3
94,25,1,1,1,1,1,1,1,1,1,0,0,1,B,4,10
95,23,1,0,1,1,1,1,0,1,1,1,0,1,A,2,9
96,20,1,1,1,1,0,1,0,1,1,1,0,0,A,2,8
97,13,0,0,0,1,0,1,0,1,1,0,0,1,A,2,5
98,15,1,1,1,1,0,0,0,0,1,1,0,0,A,2,6
